day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss;timestamp_in_day
-2;0;ASH_COATED_OSMIUM;;;;;;;10010.0;25.0;;;;;10010.0;0.0;0
-2;100;ASH_COATED_OSMIUM;9992.0;15.0;;;;;10008.0;15.0;10011.0;20.0;;;10000.0;0.0;100
-2;200;ASH_COATED_OSMIUM;9992.0;15.0;9989.0;30.0;;;10008.0;15.0;10010.0;30.0;;;10000.0;0.0;200
-2;300;ASH_COATED_OSMIUM;9992.0;13.0;9989.0;26.0;;;10008.0;13.0;10010.0;26.0;;;10000.0;0.0;300
-2;400;ASH_COATED_OSMIUM;9992.0;15.0;;;;;10008.0;15.0;10010.0;20.0;;;10000.0;0.0;400
-2;500;ASH_COATED_OSMIUM;9992.0;13.0;9989.0;30.0;;;10008.0;13.0;10010.0;30.0;;;10000.0;0.0;500
-2;600;ASH_COATED_OSMIUM;9989.0;30.0;;;;;10010.0;30.0;;;;;9999.5;0.0;600
-2;700;ASH_COATED_OSMIUM;9990.0;27.0;;;;;10011.0;27.0;;;;;10000.5;0.0;700
-2;800;ASH_COATED_OSMIUM;9993.0;15.0;;;;;10011.0;21.0;;;;;10002.0;0.0;800
-2;900;ASH_COATED_OSMIUM;9993.0;13.0;9990.0;30.0;;;9998.0;8.0;10009.0;13.0;10011.0;30.0;9995.5;0.0;900
-2;1000;ASH_COATED_OSMIUM;9990.0;22.0;;;;;10009.0;15.0;10011.0;22.0;;;9999.5;0.0;1000
-2;1100;ASH_COATED_OSMIUM;9993.0;10.0;;;;;10009.0;10.0;10011.0;25.0;;;10001.0;0.0;1100
-2;1200;ASH_COATED_OSMIUM;;;;;;;10009.0;10.0;10011.0;27.0;;;10009.0;0.0;1200
-2;1300;ASH_COATED_OSMIUM;9993.0;10.0;9991.0;23.0;;;10012.0;23.0;;;;;10002.5;0.0;1300
-2;1400;ASH_COATED_OSMIUM;9993.0;13.0;9991.0;26.0;;;10009.0;13.0;10012.0;26.0;;;10001.0;0.0;1400
-2;1500;ASH_COATED_OSMIUM;9994.0;12.0;9991.0;25.0;;;10010.0;12.0;10012.0;25.0;;;10002.0;0.0;1500
-2;1600;ASH_COATED_OSMIUM;9994.0;15.0;9991.0;23.0;;;;;;;;;9994.0;0.0;1600
-2;1700;ASH_COATED_OSMIUM;9999.0;3.0;9994.0;12.0;9991.0;28.0;10010.0;12.0;10012.0;28.0;;;10004.5;0.0;1700
-2;1800;ASH_COATED_OSMIUM;9994.0;14.0;9991.0;24.0;;;10010.0;14.0;10012.0;24.0;;;10002.0;0.0;1800
-2;1900;ASH_COATED_OSMIUM;9994.0;11.0;9991.0;25.0;;;10010.0;11.0;10012.0;25.0;;;10002.0;0.0;1900
-2;2000;ASH_COATED_OSMIUM;9991.0;30.0;;;;;10010.0;10.0;10012.0;30.0;;;10000.5;0.0;2000
-2;2100;ASH_COATED_OSMIUM;9994.0;13.0;9992.0;20.0;;;10010.0;13.0;;;;;10002.0;0.0;2100
-2;2200;ASH_COATED_OSMIUM;9994.0;14.0;;;;;10010.0;14.0;10013.0;25.0;;;10002.0;0.0;2200
-2;2300;ASH_COATED_OSMIUM;10000.0;5.0;9995.0;11.0;9992.0;28.0;10011.0;11.0;10013.0;28.0;;;10005.5;0.0;2300
-2;2400;ASH_COATED_OSMIUM;9992.0;30.0;;;;;10011.0;13.0;10013.0;30.0;;;10001.5;0.0;2400
-2;2500;ASH_COATED_OSMIUM;9992.0;21.0;;;;;10011.0;14.0;;;;;10001.5;0.0;2500
-2;2600;ASH_COATED_OSMIUM;9995.0;15.0;9992.0;21.0;;;10011.0;15.0;;;;;10003.0;0.0;2600
-2;2700;ASH_COATED_OSMIUM;9995.0;15.0;9992.0;26.0;;;10013.0;26.0;;;;;10004.0;0.0;2700
-2;2800;ASH_COATED_OSMIUM;9995.0;13.0;;;;;10011.0;13.0;10013.0;28.0;;;10003.0;0.0;2800
-2;2900;ASH_COATED_OSMIUM;9995.0;15.0;9993.0;30.0;;;10011.0;15.0;10014.0;30.0;;;10003.0;0.0;2900
-2;3000;ASH_COATED_OSMIUM;9993.0;26.0;;;;;10011.0;12.0;10014.0;26.0;;;10002.0;0.0;3000
-2;3100;ASH_COATED_OSMIUM;9996.0;12.0;;;;;10012.0;12.0;10014.0;23.0;;;10004.0;0.0;3100
-2;3200;ASH_COATED_OSMIUM;9996.0;11.0;9993.0;26.0;;;10014.0;26.0;;;;;10005.0;0.0;3200
-2;3300;ASH_COATED_OSMIUM;9996.0;15.0;9993.0;20.0;;;10012.0;15.0;10014.0;20.0;;;10004.0;0.0;3300
-2;3400;ASH_COATED_OSMIUM;9996.0;10.0;9993.0;22.0;;;10012.0;10.0;;;;;10004.0;0.0;3400
-2;3500;ASH_COATED_OSMIUM;9993.0;29.0;;;;;10012.0;10.0;10014.0;29.0;;;10002.5;0.0;3500
-2;3600;ASH_COATED_OSMIUM;9996.0;10.0;9993.0;26.0;;;10012.0;10.0;;;;;10004.0;0.0;3600
-2;3700;ASH_COATED_OSMIUM;9993.0;25.0;;;;;10011.0;11.0;;;;;10002.0;0.0;3700
-2;3800;ASH_COATED_OSMIUM;9995.0;11.0;9993.0;27.0;;;10011.0;11.0;10014.0;27.0;;;10003.0;0.0;3800
-2;3900;ASH_COATED_OSMIUM;9995.0;14.0;9993.0;25.0;;;10011.0;14.0;10014.0;25.0;;;10003.0;0.0;3900
-2;4000;ASH_COATED_OSMIUM;9996.0;10.0;9994.0;27.0;;;10012.0;10.0;10015.0;27.0;;;10004.0;0.0;4000
-2;4100;ASH_COATED_OSMIUM;9994.0;28.0;;;;;10013.0;12.0;;;;;10003.5;0.0;4100
