day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss;timestamp_in_day
-2;0;INTARIAN_PEPPER_ROOT;9992.0;17.0;;;;;10005.0;9.0;10008.0;17.0;;;9998.5;0.0;0
-2;100;INTARIAN_PEPPER_ROOT;9995.0;11.0;9992.0;16.0;;;10006.0;11.0;10008.0;16.0;;;10000.5;0.0;100
-2;200;INTARIAN_PEPPER_ROOT;9995.0;12.0;;;;;10008.0;20.0;;;;;10001.5;0.0;200
-2;300;INTARIAN_PEPPER_ROOT;;;;;;;10006.0;10.0;10008.0;21.0;;;10006.0;0.0;300
-2;400;INTARIAN_PEPPER_ROOT;9992.0;20.0;;;;;10006.0;12.0;10008.0;20.0;;;9999.0;0.0;400
-2;500;INTARIAN_PEPPER_ROOT;9995.0;12.0;9993.0;16.0;;;10006.0;12.0;10008.0;16.0;;;10000.5;0.0;500
-2;600;INTARIAN_PEPPER_ROOT;9995.0;11.0;9993.0;16.0;;;10009.0;16.0;;;;;10002.0;0.0;600
-2;700;INTARIAN_PEPPER_ROOT;9995.0;12.0;9993.0;17.0;;;10006.0;12.0;10009.0;17.0;;;10000.5;0.0;700
-2;800;INTARIAN_PEPPER_ROOT;9993.0;23.0;;;;;10006.0;9.0;;;;;9999.5;0.0;800
-2;900;INTARIAN_PEPPER_ROOT;9995.0;11.0;9993.0;24.0;;;10006.0;11.0;10009.0;24.0;;;10000.5;0.0;900
-2;1000;INTARIAN_PEPPER_ROOT;9995.0;11.0;9993.0;24.0;;;10006.0;11.0;10009.0;24.0;;;10000.5;0.0;1000
-2;1100;INTARIAN_PEPPER_ROOT;;;;;;;10003.0;8.0;10009.0;21.0;;;10003.0;0.0;1100
-2;1200;INTARIAN_PEPPER_ROOT;9993.0;21.0;;;;;10007.0;10.0;;;;;10000.0;0.0;1200
-2;1300;INTARIAN_PEPPER_ROOT;9996.0;9.0;9993.0;16.0;;;10007.0;9.0;10009.0;16.0;;;10001.5;0.0;1300
-2;1400;INTARIAN_PEPPER_ROOT;9996.0;10.0;9993.0;18.0;;;10007.0;10.0;10009.0;18.0;;;10001.5;0.0;1400
-2;1500;INTARIAN_PEPPER_ROOT;9996.0;9.0;9993.0;23.0;;;10007.0;9.0;;;;;10001.5;0.0;1500
-2;1600;INTARIAN_PEPPER_ROOT;9994.0;24.0;;;;;10007.0;8.0;;;;;10000.5;0.0;1600
-2;1700;INTARIAN_PEPPER_ROOT;9996.0;9.0;9994.0;18.0;;;10007.0;9.0;;;;;10001.5;0.0;1700
-2;1800;INTARIAN_PEPPER_ROOT;9996.0;12.0;9994.0;23.0;;;10007.0;12.0;10010.0;23.0;;;10001.5;0.0;1800
-2;1900;INTARIAN_PEPPER_ROOT;9996.0;8.0;9994.0;17.0;;;10010.0;17.0;;;;;10003.0;0.0;1900
-2;2000;INTARIAN_PEPPER_ROOT;9994.0;17.0;;;;;10008.0;11.0;10010.0;17.0;;;10001.0;0.0;2000
-2;2100;INTARIAN_PEPPER_ROOT;9997.0;10.0;;;;;10010.0;20.0;;;;;10003.5;0.0;2100
-2;2200;INTARIAN_PEPPER_ROOT;9994.0;19.0;;;;;10008.0;12.0;10010.0;19.0;;;10001.0;0.0;2200
-2;2300;INTARIAN_PEPPER_ROOT;9994.0;22.0;;;;;10008.0;12.0;;;;;10001.0;0.0;2300
-2;2400;INTARIAN_PEPPER_ROOT;9997.0;9.0;9994.0;18.0;;;10008.0;9.0;10010.0;18.0;;;10002.5;0.0;2400
-2;2500;INTARIAN_PEPPER_ROOT;9997.0;9.0;;;;;10008.0;9.0;10011.0;18.0;;;10002.5;0.0;2500
-2;2600;INTARIAN_PEPPER_ROOT;9995.0;15.0;;;;;10008.0;8.0;10011.0;15.0;;;10001.5;0.0;2600
